,title,domestic_gross,foreign_gross,year
1716,Only Lovers Left Alive,1900000.0,Only Lovers Left Alive,2014
1717,Tusk,1800000.0,Tusk,2014
1718,Awake: The Life of Yogananda,1500000.0,Awake: The Life of Yogananda,2014
1719,Fed Up,1500000.0,Fed Up,2014
1720,Finding Vivian Maier,1500000.0,Finding Vivian Maier,2014
1721,Make Your Move,125000.0,Make Your Move,2014
1722,Bright Days Ahead,21800.0,Bright Days Ahead,2014
1723,Locke,1400000.0,Locke,2014
1724,Force Majeure,1400000.0,Force Majeure,2014
1725,Postman Pat: The Movie,1500.0,Postman Pat: The Movie,2014
1726,Just a Sigh,75500.0,Just a Sigh,2014
1727,Jai Ho,1300000.0,Jai Ho,2014
1728,For a Woman,32299.0,For a Woman,2014
1729,Singham Returns,1200000.0,Singham Returns,2014
1730,Why Don't You Play in Hell,28500.0,Why Don't You Play in Hell,2014
1731,The Remaining,1200000.0,The Remaining,2014
1732,The Way He Looks,101000.0,The Way He Looks,2014
1733,Ilo Ilo,56800.0,Ilo Ilo,2014
1734,Hector And The Search For Happiness,1100000.0,Hector And The Search For Happiness,2014
1735,Leviathan (2014),1100000.0,Leviathan (2014),2014
1736,The Captive,1100000.0,The Captive,2014
1737,Laggies,1100000.0,Laggies,2014
1738,Jackpot,800.0,Jackpot,2014
1739,Lila Lila,0.0,Lila Lila,2014
1740,Haider,1000000.0,Haider,2014
1741,Third Person,1000000.0,Third Person,2014
1742,Borgman,57500.0,Borgman,2014
1743,The Disappearance of Eleanor Rigby,588000.0,The Disappearance of Eleanor Rigby,2014
1744,Shaadi Ke Side Effects,921000.0,Shaadi Ke Side Effects,2014
1745,Song of the Sea,858000.0,Song of the Sea,2014
1746,Kochadaiiyaan,817000.0,Kochadaiiyaan,2014
1747,Age of Uprising: The Legend of Michael Kohlhaas (U.S. only),3300.0,Age of Uprising: The Legend of Michael Kohlhaas (U.S. only),2014
1748,The Zero Theorem,258000.0,The Zero Theorem,2014
1749,Palo Alto,768000.0,Palo Alto,2014
1750,Ek Villain,731000.0,Ek Villain,2014
1751,Khoobsurat,711000.0,Khoobsurat,2014
1752,Holiday (2014),707000.0,Holiday (2014),2014
1753,Hasee Toh Phasee,646000.0,Hasee Toh Phasee,2014
1754,Frank,645000.0,Frank,2014
1755,Mary Kom,621000.0,Mary Kom,2014
1756,The Signal (2014),601000.0,The Signal (2014),2014
1757,Back in Time (Congcong Nanian),569000.0,Back in Time (Congcong Nanian),2014
1758,Highway (2014),529000.0,Highway (2014),2014
1759,Dom Hemingway,524000.0,Dom Hemingway,2014
1760,The One I Love,513000.0,The One I Love,2014
1761,Archipelago,7800.0,Archipelago,2014
1762,A Girl Walks Home Alone at Night,492000.0,A Girl Walks Home Alone at Night,2014
1763,The Congress,138000.0,The Congress,2014
1764,In Secret,444000.0,In Secret,2014
1765,Bjork - Biophilia Live,128000.0,Bjork - Biophilia Live,2014
1766,But Always (Yi Sheng Yi Shi),431000.0,But Always (Yi Sheng Yi Shi),2014
1767,Beijing Love Story,428000.0,Beijing Love Story,2014
1768,Goodbye to Language,390000.0,Goodbye to Language,2014
1769,Humpty Sharma Ki Dulhania,380000.0,Humpty Sharma Ki Dulhania,2014
1770,Women Who Flirt (Sajiao Nvren),375000.0,Women Who Flirt (Sajiao Nvren),2014
1771,Joe (2014),373000.0,Joe (2014),2014
1772,Omar,356000.0,Omar,2014
1773,The Face of Love,350000.0,The Face of Love,2014
1774,Jimi: All Is By My Side,341000.0,Jimi: All Is By My Side,2014
1775,I Origins,336000.0,I Origins,2014
1776,The Last Sentence,62500.0,The Last Sentence,2014
1777,On My Way,317000.0,On My Way,2014
1778,Happy Ending,314000.0,Happy Ending,2014
1779,I Am Eleven,310000.0,I Am Eleven,2014
1780,7 Boxes,38100.0,7 Boxes,2014
1781,The Dance of Reality,294000.0,The Dance of Reality,2014
1782,Elsa & Fred (2014),286000.0,Elsa & Fred (2014),2014
1783,Main Tera Hero,275000.0,Main Tera Hero,2014
1784,Night Moves,272000.0,Night Moves,2014
1785,Love on the Cloud (Wei Ai),272000.0,Love on the Cloud (Wei Ai),2014
1786,Life of Crime,265000.0,Life of Crime,2014
1787,The Green Prince,258000.0,The Green Prince,2014
1788,Action Jackson (2014),257000.0,Action Jackson (2014),2014
1789,The Blue Room,255000.0,The Blue Room,2014
1790,Tazza: The Hidden Card,252000.0,Tazza: The Hidden Card,2014
1791,James Cameron's Deepsea Challenge 3D,236000.0,James Cameron's Deepsea Challenge 3D,2014
1792,Gabrielle (2014),5500.0,Gabrielle (2014),2014
1793,The Breakup Guru,209000.0,The Breakup Guru,2014
1794,Bethlehem,202000.0,Bethlehem,2014
1795,The Double (2014),200000.0,The Double (2014),2014
1796,Listen Up Philip,200000.0,Listen Up Philip,2014
1797,We Are The Best!,181000.0,We Are The Best!,2014
1798,That Demon Within,172000.0,That Demon Within,2014
1799,God's Pocket,170000.0,God's Pocket,2014
1800,Unrelated,4500.0,Unrelated,2014
1801,The Polar Express (2014 re-issue),139000.0,The Polar Express (2014 re-issue),2014
1802,May in the Summer,22000.0,May in the Summer,2014
1803,The Jewish Cardinal,134000.0,The Jewish Cardinal,2014
1804,Zero Motivation,116000.0,Zero Motivation,2014
1805,Life's a Breeze,3500.0,Life's a Breeze,2014
1806,The Golden Era,103000.0,The Golden Era,2014
1807,God Help the Girl,103000.0,God Help the Girl,2014
1808,The Best Offer,100000.0,The Best Offer,2014
1809,Child's Pose,97200.0,Child's Pose,2014
1810,Cuban Fury,92400.0,Cuban Fury,2014
1811,Girl on a Bicycle,91400.0,Girl on a Bicycle,2014
1812,Breathe In,89700.0,Breathe In,2014
1813,Life After Beth,88300.0,Life After Beth,2014
1814,Advanced Style,87900.0,Advanced Style,2014
1815,Better Living Through Chemistry,75100.0,Better Living Through Chemistry,2014
1816,For No Good Reason,67400.0,For No Good Reason,2014
1817,The Notebook (2014),66600.0,The Notebook (2014),2014
1818,Heropanti,63600.0,Heropanti,2014
1819,No Tears for the Dead,63100.0,No Tears for the Dead,2014
1820,Young and Beautiful,61100.0,Young and Beautiful,2014
1821,Siddharth,60500.0,Siddharth,2014
1822,Walk of Shame,59200.0,Walk of Shame,2014
1823,The Conformist (2014 re-release),58700.0,The Conformist (2014 re-release),2014
1824,Rudderless,58300.0,Rudderless,2014
1825,The Rocket (2014),56800.0,The Rocket (2014),2014
1826,In Bloom,56100.0,In Bloom,2014
1827,Starred Up,54900.0,Starred Up,2014
1828,Half of a Yellow Sun,54500.0,Half of a Yellow Sun,2014
1829,Hateship Loveship,54000.0,Hateship Loveship,2014
1830,"1,000 Times Good Night",53900.0,"1,000 Times Good Night",2014
1831,The Missing Picture,52200.0,The Missing Picture,2014
1832,Decoding Annie Parker,48400.0,Decoding Annie Parker,2014
1833,Alphaville (2013 re-release),47700.0,Alphaville (2013 re-release),2014
1834,Return to The Hiding Place,45400.0,Return to The Hiding Place,2014
1835,Policeman,11300.0,Policeman,2014
1836,White Bird in a Blizzard,33800.0,White Bird in a Blizzard,2014
1837,The Hero of Color City,32200.0,The Hero of Color City,2014
1838,Bird People,32100.0,Bird People,2014
1839,Closed Curtain,28100.0,Closed Curtain,2014
1840,Lilting,27100.0,Lilting,2014
1841,Adult World,25400.0,Adult World,2014
1842,A Tale of Winter (Conte d'hiver),23300.0,A Tale of Winter (Conte d'hiver),2014
1843,The Decent One,21300.0,The Decent One,2014
1844,Guardian Angel,19500.0,Guardian Angel,2014
1845,Tasting Menu,18700.0,Tasting Menu,2014
1846,Two Night Stand,18600.0,Two Night Stand,2014
1847,Burning Bush,16700.0,Burning Bush,2014
1848,Horses of God,14800.0,Horses of God,2014
1849,13 Sins,13800.0,13 Sins,2014
1850,Camp X-Ray,13300.0,Camp X-Ray,2014
1851,Special ID,12700.0,Special ID,2014
1852,Wolves,12100.0,Wolves,2014
1853,Falcon Rising,11800.0,Falcon Rising,2014
1854,You're Not You,11500.0,You're Not You,2014
1855,The Amazing Catfish,11300.0,The Amazing Catfish,2014
1856,Stray Dogs,10400.0,Stray Dogs,2014
1857,Canopy,8500.0,Canopy,2014
1858,Love is in the Air,8400.0,Love is in the Air,2014
1859,Empty Hours,8200.0,Empty Hours,2014
1860,Rigor Mortis,7900.0,Rigor Mortis,2014
1861,The Little Bedroom,7400.0,The Little Bedroom,2014
1862,Plot for Peace,7100.0,Plot for Peace,2014
1863,Very Good Girls,6900.0,Very Good Girls,2014
1864,Pioneer,6900.0,Pioneer,2014
1865,Life of a King,6500.0,Life of a King,2014
1866,The Strange Little Cat,5900.0,The Strange Little Cat,2014
1867,"2 Autumns, 3 Winters",5800.0,"2 Autumns, 3 Winters",2014
1868,The Devil's Hand,5700.0,The Devil's Hand,2014
1869,Anna,4300.0,Anna,2014
1870,Open Windows,1800.0,Open Windows,2014
1871,Mr. Pip,1700.0,Mr. Pip,2014
1872,Star Wars: The Force Awakens,936700000.0,Star Wars: The Force Awakens,2015
1873,Jurassic World,652300000.0,Jurassic World,2015
1874,Furious 7,353000000.0,Furious 7,2015
1875,Avengers: Age of Ultron,459000000.0,Avengers: Age of Ultron,2015
1876,Minions,336000000.0,Minions,2015
1877,Spectre,200100000.0,Spectre,2015
1878,Inside Out,356500000.0,Inside Out,2015
1879,Mission: Impossible - Rogue Nation,195000000.0,Mission: Impossible - Rogue Nation,2015
1880,The Hunger Games: Mockingjay - Part 2,281700000.0,The Hunger Games: Mockingjay - Part 2,2015
1881,The Martian,228400000.0,The Martian,2015
1882,Fifty Shades of Grey,166200000.0,Fifty Shades of Grey,2015
1883,Cinderella (2015),201200000.0,Cinderella (2015),2015
1884,The Revenant,183600000.0,The Revenant,2015
1885,Ant-Man,180200000.0,Ant-Man,2015
1886,Hotel Transylvania 2,169700000.0,Hotel Transylvania 2,2015
1887,San Andreas,155200000.0,San Andreas,2015
1888,Terminator: Genisys,89800000.0,Terminator: Genisys,2015
1889,Kingsman: The Secret Service,128300000.0,Kingsman: The Secret Service,2015
1890,Home (2015),177400000.0,Home (2015),2015
1891,Mad Max: Fury Road,153600000.0,Mad Max: Fury Road,2015
1892,The Good Dinosaur,123100000.0,The Good Dinosaur,2015
1893,Taken 3,89300000.0,Taken 3,2015
1894,The SpongeBob Movie: Sponge Out of Water,163000000.0,The SpongeBob Movie: Sponge Out of Water,2015
1895,Maze Runner: The Scorch Trials,81700000.0,Maze Runner: The Scorch Trials,2015
1896,The Divergent Series: Insurgent,130199999.0,The Divergent Series: Insurgent,2015
1897,Pitch Perfect 2,184300000.0,Pitch Perfect 2,2015
1898,Paddington,76300000.0,Paddington,2015
1899,Mojin: The Lost Legend,1200000.0,Mojin: The Lost Legend,2015
1900,Lost in Hong Kong,1300000.0,Lost in Hong Kong,2015
1901,The Peanuts Movie,130199999.0,The Peanuts Movie,2015
1902,Pixels,78700000.0,Pixels,2015
1903,Daddy's Home,150400000.0,Daddy's Home,2015
1904,Spy,110800000.0,Spy,2015
1905,Alvin and the Chipmunks: The Road Chip,85900000.0,Alvin and the Chipmunks: The Road Chip,2015
1906,Goodbye Mr. Loser,1300000.0,Goodbye Mr. Loser,2015
1907,Ted 2,81500000.0,Ted 2,2015
1908,Tomorrowland,93400000.0,Tomorrowland,2015
1909,Everest (2015),43500000.0,Everest (2015),2015
1910,Straight Outta Compton,161200000.0,Straight Outta Compton,2015
1911,The Intern,75800000.0,The Intern,2015
1912,Jupiter Ascending,47400000.0,Jupiter Ascending,2015
1913,Creed,109800000.0,Creed,2015
1914,Fantastic Four,56100000.0,Fantastic Four,2015
1915,Bridge of Spies,72300000.0,Bridge of Spies,2015
1916,Focus (2015),53900000.0,Focus (2015),2015
1917,The Hateful Eight,54100000.0,The Hateful Eight,2015
1918,Goosebumps,80100000.0,Goosebumps,2015
1919,The Last Witch Hunter,27400000.0,The Last Witch Hunter,2015
1920,The Taking of Tiger Mountain,229000.0,The Taking of Tiger Mountain,2015
1921,Trainwreck,110200000.0,Trainwreck,2015
1922,Mr. Six,1400000.0,Mr. Six,2015
1923,Point Break (2015),28800000.0,Point Break (2015),2015
1924,The Big Short,70300000.0,The Big Short,2015
1925,Pan,35100000.0,Pan,2015
1926,Wolf Totem,211000.0,Wolf Totem,2015
1927,Magic Mike XXL,66000000.0,Magic Mike XXL,2015
1928,Dragon Blade,74100.0,Dragon Blade,2015
1929,Seventh Son,17200000.0,Seventh Son,2015
1930,Insidious Chapter 3,52200000.0,Insidious Chapter 3,2015
1931,Get Hard,90400000.0,Get Hard,2015
1932,The Man From U.N.C.L.E.,45400000.0,The Man From U.N.C.L.E.,2015
1933,Paul Blart: Mall Cop 2,71000000.0,Paul Blart: Mall Cop 2,2015
1934,Shaun the Sheep Movie,19400000.0,Shaun the Sheep Movie,2015
1935,Sisters,87000000.0,Sisters,2015
1936,Vacation,58900000.0,Vacation,2015
1937,Chappie,31600000.0,Chappie,2015
1938,Joy,56500000.0,Joy,2015
1939,Black Mass,62600000.0,Black Mass,2015
1940,Devil and Angel (E Gun Tian Shi),131000.0,Devil and Angel (E Gun Tian Shi),2015
1941,The Visit,65200000.0,The Visit,2015
1942,Spotlight,45100000.0,Spotlight,2015
1943,Poltergeist (2015),47400000.0,Poltergeist (2015),2015
1944,In the Heart of the Sea,25000000.0,In the Heart of the Sea,2015
1945,Southpaw,52400000.0,Southpaw,2015
1946,The Second Best Exotic Marigold Hotel,33100000.0,The Second Best Exotic Marigold Hotel,2015
1947,Paper Towns,32000000.0,Paper Towns,2015
1948,Sicario,46900000.0,Sicario,2015
1949,Hitman: Agent 47,22500000.0,Hitman: Agent 47,2015
1950,The Wedding Ringer,64500000.0,The Wedding Ringer,2015
1951,Paranormal Activity: The Ghost Dimension,18300000.0,Paranormal Activity: The Ghost Dimension,2015
1952,Crimson Peak,31100000.0,Crimson Peak,2015
1953,The Transporter Refueled,16000000.0,The Transporter Refueled,2015
1954,Run All Night,26500000.0,Run All Night,2015
1955,War Room,67800000.0,War Room,2015
1956,The Age of Adaline,42600000.0,The Age of Adaline,2015
1957,The Danish Girl,11100000.0,The Danish Girl,2015
1958,Unfriended,32500000.0,Unfriended,2015
1959,The Longest Ride,37400000.0,The Longest Ride,2015
1960,Brooklyn,38300000.0,Brooklyn,2015
1961,Dragon Ball Z: Resurrection 'F',8000000.0,Dragon Ball Z: Resurrection 'F',2015
1962,Woman in Gold,33299999.0,Woman in Gold,2015
1963,Krampus,42700000.0,Krampus,2015
1964,The Walk,10100000.0,The Walk,2015
1965,The Perfect Guy,57000000.0,The Perfect Guy,2015
1966,The Gift (2015),43800000.0,The Gift (2015),2015
1967,No Escape,27300000.0,No Escape,2015
1968,Sinister 2,27700000.0,Sinister 2,2015
1969,Prem Ratan Dhan Payo,4400000.0,Prem Ratan Dhan Payo,2015
1970,The Boy Next Door,35400000.0,The Boy Next Door,2015
1971,The Night Before,43000000.0,The Night Before,2015
1972,Hot Pursuit,34600000.0,Hot Pursuit,2015
1973,The 100-Year Old Man Who Climbed Out the Window and Disappeared,944000.0,The 100-Year Old Man Who Climbed Out the Window and Disappeared,2015
1974,The Himalayas,697000.0,The Himalayas,2015
1975,Surprise - Journey To The West,0.0,Surprise - Journey To The West,2015
1976,Entourage,32400000.0,Entourage,2015
1977,The Woman in Black 2: Angel of Death,26500000.0,The Woman in Black 2: Angel of Death,2015
1978,Concussion (2015),34500000.0,Concussion (2015),2015
1979,Mortdecai,7700000.0,Mortdecai,2015
1980,Coming Home (2015),378000.0,Coming Home (2015),2015
1981,"McFarland, USA",44500000.0,"McFarland, USA",2015
1982,Max (2015),42700000.0,Max (2015),2015
1983,Still Alice,18800000.0,Still Alice,2015
1984,The DUFF,34000000.0,The DUFF,2015
1985,Legend,1900000.0,Legend,2015
1986,The Gallows,22800000.0,The Gallows,2015
1987,Love the Coopers,26300000.0,Love the Coopers,2015
1988,The Lady in the Van,10000000.0,The Lady in the Van,2015
1989,Ricki and the Flash,26800000.0,Ricki and the Flash,2015
1990,Carol,12700000.0,Carol,2015
1991,The Lazarus Effect,25800000.0,The Lazarus Effect,2015
1992,The Water Diviner,4200000.0,The Water Diviner,2015
1993,A Walk in the Woods,29500000.0,A Walk in the Woods,2015
1994,Ex Machina,25400000.0,Ex Machina,2015
1995,Burnt,13700000.0,Burnt,2015
1996,Room,14700000.0,Room,2015
1997,The Secret in their Eyes (2015),20200000.0,The Secret in their Eyes (2015),2015
1998,Steve Jobs,17800000.0,Steve Jobs,2015
1999,Victor Frankenstein,5800000.0,Victor Frankenstein,2015
2000,Project Almanac,22300000.0,Project Almanac,2015
2001,Self/Less,12300000.0,Self/Less,2015
2002,Far from the Madding Crowd,12200000.0,Far from the Madding Crowd,2015
2003,Mr. Holmes,17700000.0,Mr. Holmes,2015
2004,Love & Mercy,12600000.0,Love & Mercy,2015
2005,Irrational Man,4000000.0,Irrational Man,2015
2006,American Ultra,14400000.0,American Ultra,2015
2007,Wild Tales,3100000.0,Wild Tales,2015
2008,Aloha,21100000.0,Aloha,2015
2009,"Love, Rosie",20400.0,"Love, Rosie",2015
2010,The 33,12200000.0,The 33,2015
2011,Capture the Flag,6700.0,Capture the Flag,2015
2012,The Gunman,10700000.0,The Gunman,2015
2013,Go Away Mr. Tumor,287000.0,Go Away Mr. Tumor,2015
2014,Black or White,21600000.0,Black or White,2015
2015,Blackhat,8000000.0,Blackhat,2015
2016,Dope,17500000.0,Dope,2015
2017,Brothers: Blood Against Blood,614000.0,Brothers: Blood Against Blood,2015
2018,While We're Young,7600000.0,While We're Young,2015
2019,Monkey Kingdom,16399999.0,Monkey Kingdom,2015
2020,Macbeth (2015),1100000.0,Macbeth (2015),2015
2021,Scouts Guide to the Zombie Apocalypse,3700000.0,Scouts Guide to the Zombie Apocalypse,2015
2022,Suffragette,4700000.0,Suffragette,2015
2023,It Follows,14700000.0,It Follows,2015
2024,Unfinished Business,10200000.0,Unfinished Business,2015
2025,Do You Believe?,13000000.0,Do You Believe?,2015
2026,Woodlawn,14400000.0,Woodlawn,2015
2027,Strange Magic,12400000.0,Strange Magic,2015
2028,Hot Tub Time Machine 2,12300000.0,Hot Tub Time Machine 2,2015
2029,Child 44,1200000.0,Child 44,2015
2030,We Are Your Friends,3600000.0,We Are Your Friends,2015
2031,Danny Collins,5600000.0,Danny Collins,2015
2032,Kung Fu Killer,130000.0,Kung Fu Killer,2015
2033,A Little Chaos,558000.0,A Little Chaos,2015
2034,The Loft,6000000.0,The Loft,2015
2035,The Young & Prodigious T.S. Spivet,174000.0,The Young & Prodigious T.S. Spivet,2015
2036,Shanghai,46400.0,Shanghai,2015
2037,Un Gallo con Muchos Huevos,9100000.0,Un Gallo con Muchos Huevos,2015
2038,Me and Earl and the Dying Girl,6800000.0,Me and Earl and the Dying Girl,2015
2039,Amy,8400000.0,Amy,2015
2040,Shaandaar,522000.0,Shaandaar,2015
2041,Trumbo (2015),7900000.0,Trumbo (2015),2015
2042,Bajrangi Bhaijaan,8199999.0,Bajrangi Bhaijaan,2015
2043,I'll See You In My Dreams,7400000.0,I'll See You In My Dreams,2015
2044,The Green Inferno,7200000.0,The Green Inferno,2015
2045,Grandma (2015),7000000.0,Grandma (2015),2015
2046,Our Brand Is Crisis (2015),7000000.0,Our Brand Is Crisis (2015),2015
2047,Baahubali: The Beginning,6700000.0,Baahubali: The Beginning,2015
2048,Bajirao Mastani,6600000.0,Bajirao Mastani,2015
2049,Little Boy,6500000.0,Little Boy,2015
2050,What We Do in the Shadows,3500000.0,What We Do in the Shadows,2015
2051,Anomalisa,3800000.0,Anomalisa,2015
2052,Pawn Sacrifice,2400000.0,Pawn Sacrifice,2015
2053,Serena,176000.0,Serena,2015
2054,Mr. X,45000.0,Mr. X,2015
2055,Dilwale,4900000.0,Dilwale,2015
2056,Back to the Future Day,1700000.0,Back to the Future Day,2015
2057,Trash,17500.0,Trash,2015
2058,True Story,4700000.0,True Story,2015
2059,"Buen Dia, Ramon",154000.0,"Buen Dia, Ramon",2015
2060,Hamari Adhuri Kahani,235000.0,Hamari Adhuri Kahani,2015
2061,45 Years,4200000.0,45 Years,2015
2062,Escobar: Paradise Lost,196000.0,Escobar: Paradise Lost,2015
2063,Spare Parts,3600000.0,Spare Parts,2015
2064,Learning to Drive,3400000.0,Learning to Drive,2015
2065,By the Sea,538000.0,By the Sea,2015
2066,Sleeping with Other People,819000.0,Sleeping with Other People,2015
2067,Phoenix (2015),3200000.0,Phoenix (2015),2015
2068,Jimmy's Hall,561000.0,Jimmy's Hall,2015
2069,Dil Dhadakne Do,3100000.0,Dil Dhadakne Do,2015
2070,Ladrones,3100000.0,Ladrones,2015
2071,Remember (Canada Release),547000.0,Remember (Canada Release),2015
2072,Tanu Weds Manu Returns,3000000.0,Tanu Weds Manu Returns,2015
2073,Rock The Kasbah,3000000.0,Rock The Kasbah,2015
2074,The End of the Tour,3000000.0,The End of the Tour,2015
2075,Captive (2015),2600000.0,Captive (2015),2015
2076,He Named Me Malala,2700000.0,He Named Me Malala,2015
2077,Youth,2700000.0,Youth,2015
2078,Chi-Raq,2700000.0,Chi-Raq,2015
2079,Truth,2500000.0,Truth,2015
2080,Mistress America,2500000.0,Mistress America,2015
2081,Jem and the Holograms,2200000.0,Jem and the Holograms,2015
2082,Beloved Sisters,54000.0,Beloved Sisters,2015
2083,The Riot Club,7700.0,The Riot Club,2015
2084,Tamasha,2100000.0,Tamasha,2015
2085,Cake,2000000.0,Cake,2015
2086,Assassination (2015),1900000.0,Assassination (2015),2015
2087,Clouds of Sils Maria,1900000.0,Clouds of Sils Maria,2015
2088,Testament of Youth,1800000.0,Testament of Youth,2015
2089,Piku,1800000.0,Piku,2015
2090,The Vatican Tapes,1800000.0,The Vatican Tapes,2015
2091,Son of Saul,1800000.0,Son of Saul,2015
2092,Janis: Little Girl Blue,410000.0,Janis: Little Girl Blue,2015
2093,'71,1300000.0,'71,2015
2094,The Diary of a Teenage Girl,1500000.0,The Diary of a Teenage Girl,2015
2095,I (2015),1400000.0,I (2015),2015
2096,Infinitely Polar Bear,1400000.0,Infinitely Polar Bear,2015
2097,99 Homes,1400000.0,99 Homes,2015
2098,Welcome Back,1400000.0,Welcome Back,2015
2099,The Salt of the Earth,1300000.0,The Salt of the Earth,2015
2100,Maps to the Stars,351000.0,Maps to the Stars,2015
2101,Iris (2015),1300000.0,Iris (2015),2015
2102,The Wolfpack,1300000.0,The Wolfpack,2015
2103,Veteran,1200000.0,Veteran,2015
2104,Goodnight Mommy,1200000.0,Goodnight Mommy,2015
2105,Black Sea,1200000.0,Black Sea,2015
2106,Miss You Already,1200000.0,Miss You Already,2015
2107,Where Hope Grows,1200000.0,Where Hope Grows,2015
2108,Cartel Land,704000.0,Cartel Land,2015
2109,Timbuktu,1100000.0,Timbuktu,2015
2110,Dior and I,1000000.0,Dior and I,2015
2111,5 Flights Up,1000000.0,5 Flights Up,2015
2112,Big Stone Gap,1000000.0,Big Stone Gap,2015
2113,Gett: The Trial of Viviane Amsalem,988000.0,Gett: The Trial of Viviane Amsalem,2015
2114,Boruto: Naruto the Movie,920000.0,Boruto: Naruto the Movie,2015
2115,Singh is Bling,919000.0,Singh is Bling,2015
2116,ABCD (Any Body Can Dance) 2,892000.0,ABCD (Any Body Can Dance) 2,2015
2117,Mustang,845000.0,Mustang,2015
2118,Labyrinth of Lies,794000.0,Labyrinth of Lies,2015
2119,The D Train,673000.0,The D Train,2015
2120,Seymour: An Introduction,744000.0,Seymour: An Introduction,2015
2121,Tangerine,702000.0,Tangerine,2015
2122,Red Army,695000.0,Red Army,2015
2123,The Stanford Prison Experiment,661000.0,The Stanford Prison Experiment,2015
2124,The Assassin,633000.0,The Assassin,2015
2125,"Kumiko, The Treasure Hunter",623000.0,"Kumiko, The Treasure Hunter",2015
2126,Welcome to Me,609000.0,Welcome to Me,2015
2127,Black Panthers: Vanguard of the Revolution,517000.0,Black Panthers: Vanguard of the Revolution,2015
2128,Detective Byomkesh Bakshy,579000.0,Detective Byomkesh Bakshy,2015
2129,Freeheld,573000.0,Freeheld,2015
2130,When Marnie Was There,561000.0,When Marnie Was There,2015
2131,Gabbar is Back,535000.0,Gabbar is Back,2015
2132,The Last - Naruto the Movie,524000.0,The Last - Naruto the Movie,2015
2133,Peggy Guggenheim Art Addict,498000.0,Peggy Guggenheim Art Addict,2015
2134,Phantom (2015),490000.0,Phantom (2015),2015
2135,Somewhere Only We Know,482000.0,Somewhere Only We Know,2015
2136,Let's Get Married,463000.0,Let's Get Married,2015
2137,Bombay Velvet,451000.0,Bombay Velvet,2015
2138,Attack on Titan: Part 1,450000.0,Attack on Titan: Part 1,2015
2139,The Third Man (2015 re-release),449000.0,The Third Man (2015 re-release),2015
2140,Saint Laurent,429000.0,Saint Laurent,2015
2141,Listen to Me Marlon,426000.0,Listen to Me Marlon,2015
2142,Heart of a Dog,421000.0,Heart of a Dog,2015
2143,The Witness (Wo shi zheng ren),418000.0,The Witness (Wo shi zheng ren),2015
2144,Unbranded,410000.0,Unbranded,2015
2145,The Second Mother,377000.0,The Second Mother,2015
2146,Kahlil Gibran's The Prophet (Gathr),370000.0,Kahlil Gibran's The Prophet (Gathr),2015
2147,Katti Batti,365000.0,Katti Batti,2015
2148,Kahlil Gibran's The Prophet,355000.0,Kahlil Gibran's The Prophet,2015
2149,Effie Gray,353000.0,Effie Gray,2015
2150,Noble,347000.0,Noble,2015
2151,Northern Limit Line,338000.0,Northern Limit Line,2015
2152,Shamitabh,325000.0,Shamitabh,2015
2153,Jafar Panahi's Taxi,322000.0,Jafar Panahi's Taxi,2015
2154,Good Kill,316000.0,Good Kill,2015
2155,Running Man (2015),311000.0,Running Man (2015),2015
2156,Attack on Titan: Part 2,306000.0,Attack on Titan: Part 2,2015
2157,Theeb,283000.0,Theeb,2015
2158,White God,282000.0,White God,2015
2159,A Borrowed Identity,282000.0,A Borrowed Identity,2015
2160,In the Name of my Daughter,278000.0,In the Name of my Daughter,2015
2161,Hitchcock/Truffaut,260000.0,Hitchcock/Truffaut,2015
2162,Love (2015),249000.0,Love (2015),2015
2163,Tevar,236000.0,Tevar,2015
2164,20 Once Again,235000.0,20 Once Again,2015
2165,Slow West,229000.0,Slow West,2015
2166,A Royal Night Out,228000.0,A Royal Night Out,2015
2167,A Pigeon Sat on a Branch Reflecting on Existence,223000.0,A Pigeon Sat on a Branch Reflecting on Existence,2015
2168,Pyaar Ka Punchnama 2,223000.0,Pyaar Ka Punchnama 2,2015
2169,Fall in Love Like a Star,213000.0,Fall in Love Like a Star,2015
2170,Dark Places,209000.0,Dark Places,2015
2171,Heneral Luna,206000.0,Heneral Luna,2015
2172,Gemma Bovery,192000.0,Gemma Bovery,2015
2173,The Connection,191000.0,The Connection,2015
2174,Love and Lost (Shi Gu),189000.0,Love and Lost (Shi Gu),2015
2175,Stonewall (2015),188000.0,Stonewall (2015),2015
2176,Maggie,187000.0,Maggie,2015
2177,Detective K: Secret of the Lost Island,185000.0,Detective K: Secret of the Lost Island,2015
2178,The Priests,185000.0,The Priests,2015
2179,The Farewell Party,173000.0,The Farewell Party,2015
2180,A Brilliant Young Mind,172000.0,A Brilliant Young Mind,2015
2181,Time Out of Mind,167000.0,Time Out of Mind,2015
2182,Snow Girl and the Dark Crystal,165000.0,Snow Girl and the Dark Crystal,2015
2183,C'Est Si Bon,164000.0,C'Est Si Bon,2015
2184,The Last Women Standing,163000.0,The Last Women Standing,2015
2185,5 to 7,163000.0,5 to 7,2015
2186,After The Ball,162000.0,After The Ball,2015
2187,Human Capital,159000.0,Human Capital,2015
2188,Experimenter,156000.0,Experimenter,2015
2189,Desert Dancer,155000.0,Desert Dancer,2015
2190,Samba,152000.0,Samba,2015
2191,The Tribe,151000.0,The Tribe,2015
2192,Forever Young (2015),150000.0,Forever Young (2015),2015
